bus_id,1,2,3,4,5,6,7,8,9,10
1102,73.235697101999989,71.10832409999999,69.163129448999996,68.363895392999993,68.616594395999996,69.774308433000002,70.955529353999992,71.872297829999994,73.317971196000002,75.180891752999997
1131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,1879.1545383539999,1824.5682806999998,1774.6565368229999,1754.148992511,1760.632995492,1790.3387765909999,1820.6477207579999,1844.1710804099998,1881.265609092,1929.0662822309998
1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,893.77034060999995,867.80782549999992,844.06861969499994,834.31474661499988,837.39869177999992,851.52746381499992,865.94311446999995,877.13138064999987,894.77441577999991,917.50954641499993
1002,94.154298143999995,91.419275200000001,88.918466928000001,87.890944496000003,88.215822911999993,89.704219375999998,91.222837087999991,92.401465759999994,94.260072511999994,96.655106415999995
1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,2587.9913038260001,2512.8145383000001,2444.075562087,2415.8323573590001,2424.7621941480002,2465.6733068789999,2507.4151021019998,2539.8117192899999,2590.8986925479999,2656.7302800389998
1302,7.2867307920000002,7.0750636,6.8815226039999997,6.802001228,6.8271440160000001,6.9423330679999999,7.0598609840000002,7.1510766800000001,7.2949168159999997,7.4802717879999996
1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,1122.66120312,1090.049796,1060.2310784399999,1047.97927908,1051.8530097600001,1069.6001014799999,1087.7075402400001,1101.7610748,1123.9224177599999,1152.4799206800001
1201,69.311076827999997,67.297707400000007,65.456753586000005,64.700349602000003,64.939506743999999,66.035180162000003,67.153100756000001,68.020740619999998,69.388941943999995,71.152030642
1202,363.43571146799997,352.87851939999996,343.22539626599996,339.25915836199999,340.51318946399999,346.25840172199997,352.12026803599997,356.66977621999996,363.84400066399996,373.08883460199996
1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1401,2712.67725273,2633.8785714999999,2561.8278436350001,2532.2239191949998,2541.5839835400002,2584.466138795,2628.2189977100002,2662.17644045,2715.72471554,2784.7279805950002
1403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,430.81743391799995,418.30291689999996,406.86008504099993,402.15849853699996,403.64502956399997,410.45541589699997,417.40408418599998,422.79708046999997,431.30142076399994,442.26026577699997
1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402,2227.50442557,2162.7991935,2103.6350172150001,2079.3258692549998,2087.01184986,2122.2243656549999,2158.1518563899999,2186.0358790499999,2230.0068378599999,2286.6686018549999
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,745.0,721.0,695.0,669.0,655.0,643.0,610.0,575.0,577.0,585.0
2130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,269.0,263.0,249.0,247.0,245.0,246.0,255.0,261.0,262.0,268.0
2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
